channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
22,16,eulsef20120912c-01,AD38,1,1,p1,1,15,0,Euler,0.0716612377850163,0.0130293159609121,0.0553745928338762,0.0977198697068404,0.281879194630872,L6,Lower
23,16,eulsef20120912c-01,AD39,1,1,p1,1,16,0,Euler,0.0586319218241042,0.0130293159609121,0.0390879478827362,0.0684039087947883,0.221476510067114,L6,Lower
24,16,eulsef20120912c-01,AD40,1,1,p1,1,17,0,Euler,0.0586319218241042,0.0130293159609121,0.0358306188925081,0.0488599348534202,0.208053691275168,L6,Lower
9,17,eulsef20120913c-01,AD25,1,1,p1,1,1,0,Euler,0.0371621621621622,0.0202702702702703,0.0777027027027027,0.0912162162162162,0.253623188405797,L2,Upper
10,17,eulsef20120913c-01,AD26,1,1,p1,1,2,0,Euler,0.108108108108108,0.0101351351351351,0.202702702702703,0.206081081081081,0.463768115942029,L2,Upper
11,17,eulsef20120913c-01,AD27,1,1,p1,1,3,0,Euler,0.314189189189189,0.128378378378378,0.39527027027027,0.385135135135135,0.731884057971015,L2,Upper
12,17,eulsef20120913c-01,AD28,1,1,p1,1,4,0,Euler,0.405405405405405,0.172297297297297,0.52027027027027,0.442567567567568,0.72463768115942,L2,Upper
13,17,eulsef20120913c-01,AD29,1,1,p1,1,5,0,Euler,0.412162162162162,0.121621621621622,0.506756756756757,0.47972972972973,0.746376811594203,L3,Upper
14,17,eulsef20120913c-01,AD30,1,1,p1,1,6,0,Euler,0.364864864864865,0.125,0.398648648648649,0.39527027027027,0.63768115942029,L3,Upper
15,17,eulsef20120913c-01,AD31,1,1,p1,1,7,0,Euler,0.253378378378378,0.114864864864865,0.347972972972973,0.277027027027027,0.550724637681159,L3,Upper
16,17,eulsef20120913c-01,AD32,1,1,p1,1,8,0,Euler,0.307432432432432,0.118243243243243,0.351351351351351,0.324324324324324,0.601449275362319,L3,Upper
17,17,eulsef20120913c-01,AD33,1,1,p1,1,9,0,Euler,0.236486486486486,0.0777027027027027,0.277027027027027,0.260135135135135,0.485507246376812,L5,Lower
