monkeyLabel,noncanceled_pBurst_early,nostop_pBurst_early,noncanceled_pBurst_late,nostop_pBurst_late
Euler,0.0909090909090909,0.0623853211009174,0.272727272727273,0.0788990825688073
Euler,0.0962566844919786,0.185185185185185,0.53475935828877,0.249512670565302
Euler,0.213903743315508,0.284600389863548,0.60427807486631,0.346978557504873
Euler,0.497326203208556,0.49317738791423,0.74331550802139,0.528265107212476
Euler,0.502673796791444,0.454191033138402,0.684491978609626,0.500974658869396
Euler,0.454545454545455,0.419103313840156,0.609625668449198,0.45224171539961
Euler,0.502673796791444,0.539961013645224,0.647058823529412,0.489278752436647
Euler,0.497326203208556,0.471734892787524,0.647058823529412,0.469785575048733
Euler,0.449197860962567,0.516569200779727,0.74331550802139,0.569200779727095
Euler,0.39572192513369,0.393762183235867,0.711229946524064,0.567251461988304
Euler,0.336898395721925,0.352826510721248,0.625668449197861,0.50682261208577
