lfpID,errorFlag,errorStart,errorEnd,errorDuration,error_pBurst,error_burstMeanTime,monkey
369,1,475,935,460,0.422818791946309,492.78021978022,Euler
370,1,478,936,458,0.456375838926175,484.485148514851,Euler
371,1,488,706,218,0.402684563758389,495.074074074074,Euler
372,1,443,884,441,0.483221476510067,505.423913043478,Euler
373,1,496,861,365,0.449664429530201,500.277777777778,Euler
374,1,472,979,507,0.436241610738255,507.036144578313,Euler
375,1,443,979,536,0.429530201342282,501.675324675325,Euler
376,1,475,936,461,0.395973154362416,501.891891891892,Euler
377,1,481,889,408,0.36241610738255,515.986666666667,Euler
378,1,482,898,416,0.295302013422819,517.683333333333,Euler
379,1,488,991,503,0.322147651006711,511.224137931034,Euler
380,1,497,970,473,0.268456375838926,517.285714285714,Euler
381,1,574,1020,446,0.261744966442953,514.697674418605,Euler
382,1,496,980,484,0.302013422818792,524.642857142857,Euler
383,1,495,1034,539,0.281879194630872,518.415094339623,Euler
384,1,528,901,373,0.25503355704698,528.816326530612,Euler
393,1,499,918,419,0.391304347826087,497.101265822785,Euler
394,1,396,459,63,0.456521739130435,465.877777777778,Euler
395,1,347,442,95,0.536231884057971,464.2,Euler
396,1,520,937,417,0.514492753623188,470.85393258427,Euler
397,1,515,579,64,0.427536231884058,480.858974358974,Euler
398,1,588,916,328,0.41304347826087,473.282051282051,Euler
399,1,544,921,377,0.376811594202899,502.015873015873,Euler
400,1,549,920,371,0.347826086956522,493.590163934426,Euler
403,1,532,927,395,0.268115942028986,521.0625,Euler
404,1,539,599,60,0.268115942028986,502.061224489796,Euler
405,1,493,596,103,0.282608695652174,509.925925925926,Euler
406,1,485,606,121,0.27536231884058,524.245283018868,Euler
407,1,504,583,79,0.282608695652174,515.02,Euler
408,1,488,594,106,0.282608695652174,511.061224489796,Euler
420,1,563,618,55,0.383561643835616,494.594594594595,Euler
421,1,565,620,55,0.424657534246575,484.90243902439,Euler
422,1,554,610,56,0.452054794520548,480.978723404255,Euler
423,1,553,721,168,0.452054794520548,472.038461538462,Euler
424,1,549,896,347,0.36986301369863,480.605263157895,Euler
425,1,536,883,347,0.383561643835616,482.405405405405,Euler
426,1,590,899,309,0.315068493150685,499.486486486487,Euler
427,1,569,885,316,0.356164383561644,500.439024390244,Euler
428,1,561,892,331,0.328767123287671,520.742857142857,Euler
429,1,519,882,363,0.36986301369863,530.864864864865,Euler
430,1,550,893,343,0.397260273972603,508.658536585366,Euler
431,1,554,918,364,0.328767123287671,521.30303030303,Euler
432,1,547,914,367,0.328767123287671,522.969696969697,Euler
438,1,484,567,83,0.359116022099448,499.009900990099,Euler
439,1,499,876,377,0.43646408839779,484.345794392523,Euler
440,1,576,843,267,0.447513812154696,477,Euler
441,1,550,839,289,0.419889502762431,489.05,Euler
442,1,537,658,121,0.453038674033149,481.525423728814,Euler
443,1,592,958,366,0.348066298342541,478.924050632911,Euler
444,1,565,853,288,0.38121546961326,477.087912087912,Euler
445,1,564,905,341,0.320441988950276,495.775,Euler
449,1,599,914,315,0.187845303867403,519.478260869565,Euler
450,1,578,933,355,0.209944751381215,500.30612244898,Euler
451,1,584,963,379,0.215469613259669,501.933333333333,Euler
452,1,574,936,362,0.198895027624309,501.224489795918,Euler
453,1,586,970,384,0.171270718232044,498,Euler
454,1,588,957,369,0.176795580110497,505.926829268293,Euler
470,1,405,511,106,0.292929292929293,461.508333333333,Xena
471,1,469,537,68,0.296296296296296,461.982300884956,Xena
499,1,444,496,52,0.315,457.960526315789,Xena
500,1,435,561,126,0.325,472.581395348837,Xena
501,1,434,498,64,0.275,457.947368421053,Xena
502,1,429,521,92,0.295,456.566265060241,Xena
515,1,473,542,69,0.330357142857143,458.282828282828,Xena
516,1,479,543,64,0.348214285714286,469.326530612245,Xena
517,1,467,522,55,0.303571428571429,457.632183908046,Xena
520,1,540,598,58,0.272321428571429,485.321428571429,Xena
524,1,425,492,67,0.330357142857143,455.704081632653,Xena
526,1,488,551,63,0.348214285714286,457.257731958763,Xena
527,1,479,569,90,0.352678571428571,456.952830188679,Xena
528,1,488,555,67,0.370535714285714,445.715596330275,Xena
541,1,351,428,77,0.404494382022472,436.087378640777,Xena
567,1,347,411,64,0.266094420600858,439.707317073171,Xena
573,1,254,352,98,0.274678111587983,449.719101123596,Xena
591,1,506,612,106,0.356687898089172,464.43661971831,Xena
592,1,492,579,87,0.267515923566879,489.262295081967,Xena
597,1,524,599,75,0.331210191082803,480.095238095238,Xena
600,1,579,636,57,0.356687898089172,445.493150684931,Xena
616,1,492,565,73,0.333333333333333,483,Xena
617,1,447,535,88,0.283333333333333,466.333333333333,Xena
