LFPidx,channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,baseline_200_pBurst,target_200_pBurst,stopping_baseline_canceled,stopping_baseline_noncanc,stopping_baseline_nostop,stopping_ssd_canceled,stopping_ssd_noncanc,stopping_ssd_nostop,stopping_canceledBurstTime,stopping_noncanceledBurstTime,stopping_nostopBurstTime,stopping_canceledBurstOnset,stopping_noncanceledBurstOnset,stopping_nostopBurstOnset,stopping_canceledBurstOffset,stopping_noncanceledBurstOffset,stopping_nostopBurstOffset,stopping_canceledBurstDuration,stopping_noncanceledBurstDuration,stopping_nostopBurstDuration,stopping_canceledBurstVolume,stopping_noncanceledBurstVolume,stopping_nostopBurstVolume,stopping_canceledBurstFreq,stopping_noncanceledBurstFreq,stopping_nostopBurstFreq,error_noncanceled_pBurst,error_nostop_pBurst,error_noncanceledBurstTime,error_nostopBurstTime,error_noncanceledBurstOnset,error_nostopBurstOnset,error_noncanceledBurstOffset,error_nostopBurstOffset,error_noncanceledBurstDuration,error_nostopBurstDuration,error_noncanceledBurstVolume,error_nostopBurstVolume,error_noncanceledBurstFreq,error_nostopBurstFreq
21,5,2,eulsef20120905c-01,AD21,1,4,np1,0,NaN,0,Euler,0.0754716981132075,0.025527192008879,0.0343137254901961,0.041958041958042,0.0468384074941452,0.0147058823529412,0.041958041958042,0.0187353629976581,49,53.8333333333333,84.6666666666667,-176.666666666667,-122.5,-169.933333333333,191.333333333333,99.6666666666667,112.466666666667,368,222.166666666667,282.4,323703044971.549,119694316814.797,154263291643.168,22.3333333333333,26.5,25.8,0.447552447552448,0.0608899297423888,514.872340425532,486.185185185185,-156.691489361702,-131.407407407407,225.042553191489,149.111111111111,381.734042553192,280.518518518519,511748508008.735,160376709650.42,25.9787234042553,26.8148148148148
22,6,2,eulsef20120905c-01,AD22,1,4,np1,0,NaN,0,Euler,0.154273029966704,0.0477247502774695,0.0931372549019608,0.0699300699300699,0.105386416861827,0.0147058823529412,0.00699300699300699,0.0210772833723653,52.6666666666667,18,65.2727272727273,-232.666666666667,-99,-120.818181818182,155,99,113.363636363636,387.666666666667,198,234.181818181818,279636960878.617,107938129108.744,108718377388.862,24.6666666666667,20,25.9090909090909,0.587412587412587,0.234192037470726,501.371212121212,489.083333333333,-144.151515151515,-126.583333333333,214.583333333333,174.703703703704,358.734848484848,301.287037037037,592601587051.754,163328856495.812,26.2878787878788,26.6759259259259
23,7,2,eulsef20120905c-01,AD23,1,4,np1,0,NaN,0,Euler,0.288568257491676,0.180910099889012,0.147058823529412,0.174825174825175,0.199063231850117,0.0833333333333333,0.0559440559440559,0.0679156908665105,47.4090909090909,81.75,52.2142857142857,-153.454545454545,-167.625,-137.190476190476,155.363636363636,109.5,118.285714285714,308.818181818182,277.125,255.47619047619,209013181508.61,110368536094.798,154797138872.758,24.1363636363636,25.625,23.6904761904762,0.72027972027972,0.4192037470726,486.110465116279,476.246031746032,-136.720930232558,-136.948412698413,263.773255813953,151.027777777778,400.494186046512,287.97619047619,673633137159.597,187839348823.881,25.7209302325581,25.8333333333333
24,8,2,eulsef20120905c-01,AD24,1,4,np1,0,NaN,0,Euler,0.329633740288568,0.285238623751387,0.196078431372549,0.181818181818182,0.194379391100703,0.156862745098039,0.0979020979020979,0.11943793911007,43.3275862068966,75.875,61.9302325581395,-138.327586206897,-157.375,-141.476744186047,137.706896551724,115.5,119.093023255814,276.034482758621,272.875,260.56976744186,172493083684.749,119100098931.703,158176373770.312,21.9655172413793,23.6875,22.4186046511628,0.727272727272727,0.505854800936768,480.553672316384,466.582278481013,-135.175141242938,-124.5,232.864406779661,136.955696202532,368.039548022599,261.455696202532,521306449503.412,169028612979.014,26.0112994350282,25.2056962025316
25,9,2,eulsef20120905c-01,AD25,1,4,np1,0,NaN,0,Euler,0.298557158712542,0.32519422863485,0.191176470588235,0.160839160839161,0.173302107728337,0.186274509803922,0.0839160839160839,0.135831381733021,44.7647058823529,86.9375,58.030612244898,-129.980392156863,-106.875,-135.744897959184,156,104.8125,115.122448979592,285.980392156863,211.6875,250.867346938776,192454632743.074,111083669166.607,153607510416.119,21.6666666666667,23.4375,21.9285714285714,0.734265734265734,0.466042154566745,490.554838709677,469.667924528302,-142.593548387097,-123.120754716981,206.361290322581,143.977358490566,348.954838709677,267.098113207547,441352170948.161,169084650215.042,26.0516129032258,25.2943396226415
26,10,2,eulsef20120905c-01,AD26,1,4,np1,0,NaN,0,Euler,0.25527192008879,0.312985571587125,0.166666666666667,0.153846153846154,0.175644028103044,0.225490196078431,0.0839160839160839,0.133489461358314,48.0677966101695,62.4210526315789,55.5408163265306,-125.576271186441,-148.210526315789,-148.040816326531,151.898305084746,142.315789473684,136.591836734694,277.474576271186,290.526315789474,284.632653061225,172309259018.128,170680845083.015,185914742329.939,21.0677966101695,20.6842105263158,20.8163265306122,0.734265734265734,0.374707259953162,491.005780346821,472.882352941176,-139.49710982659,-122.203619909502,211.699421965318,143.778280542986,351.196531791907,265.981900452489,434561369168.875,176865473896.384,25.5664739884393,25.5294117647059
27,11,2,eulsef20120905c-01,AD27,1,4,np1,0,NaN,0,Euler,0.250832408435072,0.335183129855716,0.161764705882353,0.153846153846154,0.154566744730679,0.191176470588235,0.153846153846154,0.159250585480094,50.4642857142857,82.4814814814815,61.9051724137931,-137.5,-148.703703703704,-170.353448275862,145.785714285714,146.740740740741,160.724137931034,283.285714285714,295.444444444444,331.077586206897,195820938794.874,180217449249.711,224921121561.247,20.2321428571429,20.4074074074074,19.5,0.741258741258741,0.381733021077283,475.172619047619,478.240909090909,-142.190476190476,-126.740909090909,194.386904761905,149.709090909091,336.577380952381,276.45,463608002904.997,165593311737.403,25.4702380952381,25.6272727272727
28,12,2,eulsef20120905c-01,AD28,1,4,np1,0,NaN,0,Euler,0.298557158712542,0.400665926748058,0.191176470588235,0.132867132867133,0.194379391100703,0.181372549019608,0.153846153846154,0.166276346604215,41.2857142857143,63.6060606060606,61.9343065693431,-162.589285714286,-160.272727272727,-157.948905109489,128.928571428571,156.787878787879,148.036496350365,291.517857142857,317.060606060606,305.985401459854,207107627453.411,204055825591.95,230711440495.63,19.5714285714286,20.6969696969697,20.1094890510949,0.727272727272727,0.381733021077283,475.137362637363,471.721461187215,-142.714285714286,-121.698630136986,216.604395604396,136.328767123288,359.318681318681,258.027397260274,528433875870.891,156527126199.659,25.2527472527473,25.7168949771689
29,13,2,eulsef20120905c-01,AD29,1,4,np1,0,NaN,0,Euler,0.295227524972253,0.433962264150943,0.161764705882353,0.153846153846154,0.187353629976581,0.156862745098039,0.202797202797203,0.189695550351288,36.3958333333333,69.0322580645161,66.5121951219512,-159.6875,-160.935483870968,-168.073170731707,142.1875,160.677419354839,151.056910569106,301.875,321.612903225806,319.130081300813,232381885433.641,201970846293.233,246470365844.417,18.7083333333333,19.4516129032258,19.4146341463415,0.79020979020979,0.395784543325527,477.688118811881,469.142276422764,-149.925742574257,-124.967479674797,225.727722772277,139.882113821138,375.653465346535,264.849593495935,606920957505.529,168350348281.328,24.9653465346535,25.5853658536585
30,14,2,eulsef20120905c-01,AD30,1,4,np1,0,NaN,0,Euler,0.25638179800222,0.41953385127636,0.151960784313725,0.118881118881119,0.154566744730679,0.142156862745098,0.13986013986014,0.175644028103044,36.54,64.8076923076923,54.7478260869565,-157.68,-150.076923076923,-160.739130434783,142.86,184.653846153846,143.869565217391,300.54,334.730769230769,304.608695652174,239134937980.348,183269919481.95,244792215560.638,18.28,19.2692307692308,19.6434782608696,0.762237762237762,0.405152224824356,486.346733668342,466.147826086957,-153.130653266332,-127.026086956522,234.422110552764,138.15652173913,387.552763819096,265.182608695652,711549279016.925,162568171427.589,24.7889447236181,25.9347826086957
31,15,2,eulsef20120905c-01,AD31,1,4,np1,0,NaN,0,Euler,0.259711431742508,0.389567147613762,0.161764705882353,0.132867132867133,0.161592505854801,0.151960784313725,0.118881118881119,0.168618266978923,35.9074074074074,58.0434782608696,55.7304347826087,-161.685185185185,-161.565217391304,-156.095652173913,154.833333333333,198.173913043478,132.147826086957,316.518518518519,359.739130434783,288.24347826087,246354501902.601,230392750687.635,226415815657.205,18.3703703703704,20.0869565217391,19.6086956521739,0.727272727272727,0.437939110070258,490.520710059172,466.780876494024,-146.03550295858,-122.988047808765,245.550295857988,136.788844621514,391.585798816568,259.776892430279,867502367450.79,157177484015.096,25.2307692307692,25.9840637450199
32,16,2,eulsef20120905c-01,AD32,1,4,np1,0,NaN,0,Euler,0.277469478357381,0.429522752497225,0.176470588235294,0.13986013986014,0.166276346604215,0.21078431372549,0.146853146853147,0.185011709601874,37.7413793103448,58.5652173913044,57.9150943396226,-151.98275862069,-131.782608695652,-146.254716981132,141.155172413793,151.391304347826,132.301886792453,293.137931034483,283.173913043478,278.556603773585,219544606048.788,162417612550.524,209232437780.962,18.7068965517241,19.4782608695652,19.5566037735849,0.685314685314685,0.449648711943794,491.441717791411,466.272727272727,-146.294478527607,-130.162878787879,266.699386503068,130.242424242424,412.993865030675,260.405303030303,945232785270.477,166413706489.102,25.0920245398773,25.5151515151515
33,17,2,eulsef20120905c-01,AD33,1,4,np1,0,NaN,0,Euler,0.239733629300777,0.380688124306326,0.147058823529412,0.125874125874126,0.156908665105386,0.161764705882353,0.146853146853147,0.189695550351288,36.5675675675676,52.9166666666667,60.4684684684685,-160.27027027027,-117.833333333333,-167.603603603604,153.081081081081,126.791666666667,139,313.351351351351,244.625,306.603603603604,200775769732.36,156546853524.123,217413009984.69,18.5405405405405,21.25,19.2072072072072,0.615384615384615,0.384074941451991,496.059210526316,468.841628959276,-137.967105263158,-127.900452488688,254.059210526316,153.570135746606,392.026315789474,281.470588235294,1026905415739.49,176033676752.964,24.9539473684211,25.5113122171946
