session,monkey,betaBaseline_LFP_canc,betaBaseline_LFP_noncanc,betaBaseline_LFP_nostop,targetBaseline_LFP_canc,targetBaseline_LFP_noncanc,targetBaseline_LFP_nostop
6,Euler,0.133928571428571,0.154838709677419,0.130232558139535,0.165178571428571,0.103225806451613,0.132558139534884
6,Euler,0.147321428571429,0.0838709677419355,0.125581395348837,0.151785714285714,0.174193548387097,0.174418604651163
6,Euler,0.111607142857143,0.12258064516129,0.106976744186047,0.183035714285714,0.225806451612903,0.176744186046512
6,Euler,0.129464285714286,0.0709677419354839,0.0953488372093023,0.15625,0.232258064516129,0.188372093023256
6,Euler,0.116071428571429,0.0967741935483871,0.086046511627907,0.142857142857143,0.212903225806452,0.176744186046512
6,Euler,0.102678571428571,0.0451612903225806,0.0767441860465116,0.160714285714286,0.206451612903226,0.193023255813953
6,Euler,0.09375,0.0451612903225806,0.0674418604651163,0.183035714285714,0.212903225806452,0.17906976744186
6,Euler,0.0982142857142857,0.0580645161290323,0.0813953488372093,0.1875,0.225806451612903,0.183720930232558
6,Euler,0.111607142857143,0.0645161290322581,0.0837209302325581,0.196428571428571,0.225806451612903,0.181395348837209
6,Euler,0.09375,0.0709677419354839,0.0604651162790698,0.200892857142857,0.212903225806452,0.218604651162791
6,Euler,0.107142857142857,0.0838709677419355,0.086046511627907,0.178571428571429,0.2,0.188372093023256
6,Euler,0.116071428571429,0.0580645161290323,0.0837209302325581,0.227678571428571,0.219354838709677,0.186046511627907
6,Euler,0.125,0.0774193548387097,0.0906976744186047,0.232142857142857,0.251612903225806,0.2
6,Euler,0.102678571428571,0.0709677419354839,0.086046511627907,0.209821428571429,0.232258064516129,0.153488372093023
6,Euler,0.111607142857143,0.0645161290322581,0.0883720930232558,0.205357142857143,0.212903225806452,0.186046511627907
6,Euler,0.125,0.0451612903225806,0.0790697674418605,0.227678571428571,0.232258064516129,0.176744186046512
7,Xena,0.239382239382239,0.231292517006803,0.225352112676056,0.297297297297297,0.346938775510204,0.344064386317907
7,Xena,0.38996138996139,0.26530612244898,0.372233400402414,0.397683397683398,0.312925170068027,0.438631790744467
