session,monkey,alignmentLabel,upper_regular_pre,upper_regular_post,upper_shuffled_pre,upper_shuffled_post,lower_regular_pre,lower_regular_post,lower_shuffled_pre,lower_shuffled_post
23,Xena,tone,0.256880733944954,0.293577981651376,0.256880733944954,0.211009174311927,0.26605504587156,0.165137614678899,0.229357798165138,0.284403669724771
24,Xena,target,0.369747899159664,0.294117647058824,0.235294117647059,0.361344537815126,0.243697478991597,0.218487394957983,0.142857142857143,0.176470588235294
24,Xena,saccade,0.305785123966942,0.289256198347107,0.223140495867769,0.31404958677686,0.190082644628099,0.223140495867769,0.115702479338843,0.181818181818182
24,Xena,stopSignal,0.333333333333333,0.238095238095238,0.314285714285714,0.238095238095238,0.161904761904762,0.152380952380952,0.161904761904762,0.133333333333333
24,Xena,tone,0.317647058823529,0.317647058823529,0.176470588235294,0.329411764705882,0.141176470588235,0.141176470588235,0.164705882352941,0.282352941176471
25,Xena,target,0.228571428571429,0.228571428571429,0.3,0.2,0.328571428571429,0.257142857142857,0.4,0.257142857142857
25,Xena,saccade,0.263888888888889,0.305555555555556,0.305555555555556,0.208333333333333,0.319444444444444,0.375,0.25,0.263888888888889
25,Xena,stopSignal,0.379310344827586,0.344827586206897,0.252873563218391,0.275862068965517,0.32183908045977,0.275862068965517,0.344827586206897,0.333333333333333
25,Xena,tone,0.257142857142857,0.228571428571429,0.185714285714286,0.242857142857143,0.271428571428571,0.357142857142857,0.328571428571429,0.342857142857143
26,Xena,target,0.2,0.257142857142857,0.2,0.114285714285714,0.228571428571429,0.257142857142857,0.228571428571429,0.114285714285714
26,Xena,saccade,0.25,0.34375,0.09375,0.21875,0.46875,0.375,0.15625,0.375
26,Xena,stopSignal,0.209302325581395,0.255813953488372,0.325581395348837,0.255813953488372,0.209302325581395,0.27906976744186,0.302325581395349,0.325581395348837
26,Xena,tone,0.166666666666667,0.111111111111111,0.111111111111111,0.111111111111111,0.138888888888889,0.0833333333333333,0.0555555555555556,0
27,Xena,target,0.357142857142857,0.285714285714286,0.303571428571429,0.214285714285714,0.232142857142857,0.25,0.285714285714286,0.285714285714286
27,Xena,saccade,0.230769230769231,0.461538461538462,0.205128205128205,0.333333333333333,0.128205128205128,0.205128205128205,0.128205128205128,0.102564102564103
27,Xena,stopSignal,0.333333333333333,0.305555555555556,0.291666666666667,0.277777777777778,0.291666666666667,0.277777777777778,0.222222222222222,0.291666666666667
27,Xena,tone,0.219512195121951,0.365853658536585,0.317073170731707,0.341463414634146,0.195121951219512,0.219512195121951,0.0975609756097561,0.121951219512195
28,Xena,target,0.261904761904762,0.333333333333333,0.333333333333333,0.261904761904762,0.30952380952381,0.547619047619048,0.333333333333333,0.333333333333333
28,Xena,saccade,0.263888888888889,0.263888888888889,0.319444444444444,0.236111111111111,0.291666666666667,0.375,0.416666666666667,0.222222222222222
28,Xena,stopSignal,0.178571428571429,0.196428571428571,0.125,0.142857142857143,0.410714285714286,0.357142857142857,0.267857142857143,0.303571428571429
28,Xena,tone,0.214285714285714,0.119047619047619,0.214285714285714,0.0952380952380952,0.404761904761905,0.285714285714286,0.238095238095238,0.214285714285714
29,Xena,target,0.23943661971831,0.323943661971831,0.154929577464789,0.169014084507042,0.352112676056338,0.366197183098592,0.253521126760563,0.197183098591549
29,Xena,saccade,0.0930232558139535,0.13953488372093,0.162790697674419,0.116279069767442,0.186046511627907,0.232558139534884,0.348837209302326,0.255813953488372
29,Xena,stopSignal,0.220779220779221,0.12987012987013,0.168831168831169,0.233766233766234,0.207792207792208,0.168831168831169,0.181818181818182,0.272727272727273
29,Xena,tone,0.117647058823529,0.156862745098039,0.156862745098039,0.196078431372549,0.215686274509804,0.313725490196078,0.196078431372549,0.156862745098039
