channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
16,18,eulsef20120914c-01,AD32,1,1,p1,1,5,0,Euler,0.20253164556962,0.0759493670886076,0.227848101265823,0.411392405063291,0.410958904109589,L3,Upper
17,18,eulsef20120914c-01,AD33,1,1,p1,1,6,0,Euler,0.20253164556962,0.069620253164557,0.20253164556962,0.316455696202532,0.36986301369863,L3,Upper
18,18,eulsef20120914c-01,AD34,1,1,p1,1,7,0,Euler,0.240506329113924,0.0506329113924051,0.19620253164557,0.30379746835443,0.356164383561644,L3,Upper
19,18,eulsef20120914c-01,AD35,1,1,p1,1,8,0,Euler,0.259493670886076,0.0569620253164557,0.158227848101266,0.322784810126582,0.438356164383562,L3,Upper
20,18,eulsef20120914c-01,AD36,1,1,p1,1,9,0,Euler,0.151898734177215,0.0443037974683544,0.0886075949367089,0.208860759493671,0.356164383561644,L5,Lower
21,18,eulsef20120914c-01,AD37,1,1,p1,1,10,0,Euler,0.0886075949367089,0.0189873417721519,0.0632911392405063,0.19620253164557,0.383561643835616,L5,Lower
22,18,eulsef20120914c-01,AD38,1,1,p1,1,11,0,Euler,0.0822784810126582,0.0253164556962025,0.0443037974683544,0.158227848101266,0.36986301369863,L5,Lower
23,18,eulsef20120914c-01,AD39,1,1,p1,1,12,0,Euler,0.0379746835443038,0.0443037974683544,0.0126582278481013,0.107594936708861,0.26027397260274,L5,Lower
24,18,eulsef20120914c-01,AD40,1,1,p1,1,13,0,Euler,0.0379746835443038,0.0569620253164557,0.0126582278481013,0.0759493670886076,0.205479452054795,L6,Lower
6,19,eulsef20120915c-01,AD22,1,1,p1,1,1,0,Euler,0.213720316622691,0.029023746701847,0.189973614775726,0.343007915567282,0.392265193370166,L2,Upper
7,19,eulsef20120915c-01,AD23,1,1,p1,1,2,0,Euler,0.350923482849604,0.050131926121372,0.372031662269129,0.488126649076517,0.552486187845304,L2,Upper
8,19,eulsef20120915c-01,AD24,1,1,p1,1,3,0,Euler,0.387862796833773,0.050131926121372,0.393139841688654,0.509234828496042,0.607734806629834,L2,Upper
9,19,eulsef20120915c-01,AD25,1,1,p1,1,4,0,Euler,0.387862796833773,0.0554089709762533,0.448548812664908,0.530343007915567,0.640883977900553,L2,Upper
10,19,eulsef20120915c-01,AD26,1,1,p1,1,5,0,Euler,0.385224274406332,0.0606860158311346,0.327176781002639,0.493403693931398,0.569060773480663,L3,Upper
11,19,eulsef20120915c-01,AD27,1,1,p1,1,6,0,Euler,0.398416886543536,0.0448548812664908,0.324538258575198,0.432717678100264,0.43646408839779,L3,Upper
12,19,eulsef20120915c-01,AD28,1,1,p1,1,7,0,Euler,0.282321899736148,0.0448548812664908,0.300791556728232,0.350923482849604,0.453038674033149,L3,Upper
13,19,eulsef20120915c-01,AD29,1,1,p1,1,8,0,Euler,0.282321899736148,0.029023746701847,0.295514511873351,0.364116094986807,0.453038674033149,L3,Upper
14,19,eulsef20120915c-01,AD30,1,1,p1,1,9,0,Euler,0.258575197889182,0.0237467018469657,0.25065963060686,0.382585751978892,0.480662983425414,L5,Lower
15,19,eulsef20120915c-01,AD31,1,1,p1,1,10,0,Euler,0.200527704485488,0.0184696569920844,0.155672823218997,0.311345646437995,0.397790055248619,L5,Lower
16,19,eulsef20120915c-01,AD32,1,1,p1,1,11,0,Euler,0.184696569920844,0.0105540897097625,0.12401055408971,0.311345646437995,0.38121546961326,L5,Lower
17,19,eulsef20120915c-01,AD33,1,1,p1,1,12,0,Euler,0.118733509234828,0.0131926121372032,0.0686015831134565,0.242744063324538,0.220994475138122,L5,Lower
18,19,eulsef20120915c-01,AD34,1,1,p1,1,13,0,Euler,0.168865435356201,0.0316622691292876,0.0844327176781003,0.216358839050132,0.232044198895028,L6,Lower
19,19,eulsef20120915c-01,AD35,1,1,p1,1,14,0,Euler,0.113456464379947,0.0395778364116095,0.0606860158311346,0.20844327176781,0.232044198895028,L6,Lower
20,19,eulsef20120915c-01,AD36,1,1,p1,1,15,0,Euler,0.0659630606860158,0.0237467018469657,0.0316622691292876,0.108179419525066,0.138121546961326,L6,Lower
21,19,eulsef20120915c-01,AD37,1,1,p1,1,16,0,Euler,0.0580474934036939,0.0343007915567282,0.0237467018469657,0.110817941952507,0.110497237569061,L6,Lower
22,19,eulsef20120915c-01,AD38,1,1,p1,1,17,0,Euler,0.0527704485488127,0.0184696569920844,0.0158311345646438,0.105540897097625,0.121546961325967,L6,Lower
13,20,xensef20120420a-01,AD29,1,2,p2,1,1,1,Xena,0.0264900662251656,0.150110375275938,0.0198675496688742,0.0154525386313466,0.0202020202020202,L2,Upper
14,20,xensef20120420a-01,AD30,1,2,p2,1,2,1,Xena,0.141280353200883,0.165562913907285,0.134657836644592,0.1280353200883,0.124579124579125,L2,Upper
15,20,xensef20120420a-01,AD31,1,2,p2,1,3,1,Xena,0.185430463576159,0.161147902869757,0.145695364238411,0.1280353200883,0.161616161616162,L2,Upper
16,20,xensef20120420a-01,AD32,1,2,p2,1,4,1,Xena,0.2560706401766,0.163355408388521,0.278145695364238,0.227373068432671,0.282828282828283,L2,Upper
17,20,xensef20120420a-01,AD33,1,2,p2,1,5,1,Xena,0.298013245033113,0.150110375275938,0.300220750551876,0.267108167770419,0.296296296296296,L3,Upper
18,20,xensef20120420a-01,AD34,1,2,p2,1,6,1,Xena,0.216335540838852,0.130242825607064,0.143487858719647,0.154525386313466,0.138047138047138,L3,Upper
19,20,xensef20120420a-01,AD35,1,2,p2,1,7,1,Xena,0.23841059602649,0.119205298013245,0.154525386313466,0.200883002207506,0.141414141414141,L3,Upper
20,20,xensef20120420a-01,AD36,1,2,p2,1,8,1,Xena,0.233995584988962,0.119205298013245,0.152317880794702,0.23841059602649,0.148148148148148,L3,Upper
21,20,xensef20120420a-01,AD37,1,2,p2,1,9,1,Xena,0.205298013245033,0.141280353200883,0.15673289183223,0.187637969094923,0.151515151515152,L5,Lower
