Channel,Session,Monkey,fixation_nostop,fixation_canceled,fixation_noncanceled,target_nostop,target_canceled,target_noncanceled,postaction_early_nostop,postaction_early_canceled,postaction_early_noncanceled,postaction_late_nostop,postaction_late_canceled,postaction_late_noncanceled,tone_nostop,tone_canceled,tone_noncanceled
24,4,Euler,0.111926605504587,0.073943661971831,0.0855614973262032,0.146788990825688,0.130281690140845,0.144385026737968,0.0293577981651376,0.0387323943661972,0.0427807486631016,0.0678899082568807,0.105633802816901,0.262032085561497,0.176146788990826,0.0528169014084507,0.101604278074866
5,5,Euler,0.216374269005848,0.195652173913043,0.27807486631016,0.105263157894737,0.160869565217391,0.101604278074866,0.148148148148148,0.156521739130435,0.0748663101604278,0.183235867446394,0.278260869565217,0.486631016042781,0.317738791423002,0.143478260869565,0.406417112299465
6,5,Euler,0.298245614035088,0.243478260869565,0.347593582887701,0.194931773879142,0.243478260869565,0.149732620320856,0.206627680311891,0.269565217391304,0.13903743315508,0.282651072124756,0.439130434782609,0.53475935828877,0.419103313840156,0.260869565217391,0.443850267379679
7,5,Euler,0.39766081871345,0.447826086956522,0.486631016042781,0.38401559454191,0.404347826086957,0.390374331550802,0.387914230019493,0.439130434782609,0.310160427807487,0.430799220272904,0.543478260869565,0.60427807486631,0.50682261208577,0.378260869565217,0.513368983957219
8,5,Euler,0.41130604288499,0.408695652173913,0.454545454545455,0.407407407407407,0.408695652173913,0.390374331550802,0.350877192982456,0.434782608695652,0.320855614973262,0.393762183235867,0.51304347826087,0.556149732620321,0.499025341130604,0.434782608695652,0.513368983957219
9,5,Euler,0.387914230019493,0.404347826086957,0.427807486631016,0.428849902534113,0.391304347826087,0.502673796791444,0.333333333333333,0.417391304347826,0.251336898395722,0.345029239766082,0.565217391304348,0.508021390374332,0.495126705653021,0.408695652173913,0.454545454545455
10,5,Euler,0.423001949317739,0.408695652173913,0.433155080213904,0.463937621832359,0.460869565217391,0.524064171122995,0.385964912280702,0.426086956521739,0.336898395721925,0.372319688109162,0.51304347826087,0.561497326203209,0.504873294346979,0.417391304347826,0.475935828877005
11,5,Euler,0.415204678362573,0.373913043478261,0.433155080213904,0.428849902534113,0.456521739130435,0.470588235294118,0.335282651072125,0.404347826086957,0.320855614973262,0.362573099415205,0.530434782608696,0.577540106951872,0.508771929824561,0.447826086956522,0.46524064171123
12,5,Euler,0.42495126705653,0.360869565217391,0.379679144385027,0.426900584795322,0.439130434782609,0.443850267379679,0.41130604288499,0.404347826086957,0.315508021390374,0.450292397660819,0.48695652173913,0.620320855614973,0.508771929824561,0.404347826086957,0.545454545454545
13,5,Euler,0.350877192982456,0.3,0.352941176470588,0.38401559454191,0.38695652173913,0.331550802139037,0.321637426900585,0.343478260869565,0.267379679144385,0.444444444444444,0.48695652173913,0.614973262032086,0.516569200779727,0.326086956521739,0.502673796791444
14,5,Euler,0.290448343079922,0.273913043478261,0.251336898395722,0.348927875243665,0.308695652173913,0.288770053475936,0.269005847953216,0.282608695652174,0.213903743315508,0.415204678362573,0.360869565217391,0.540106951871658,0.469785575048733,0.269565217391304,0.449197860962567
