channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixation_power_canceled,fixation_power_nostop,stopSignal_power_canceled,stopSignal_power_nostop,ssrt_power_canceled,ssrt_power_nostop,laminar,upper_lower
15,15,eulsef20120911c-01,AD31,1,1,p1,1,10,0,Euler,0.131450310620395,0.882560570267148,0.559803823837278,0.333928444444279,0.0940783640906406,0.128947021086104,L5,Lower
16,15,eulsef20120911c-01,AD32,1,1,p1,1,11,0,Euler,0.188900361367653,0.372752534229662,0.144098648952873,0.381901122204281,0.243401166928994,0.12533312175431,L5,Lower
17,15,eulsef20120911c-01,AD33,1,1,p1,1,12,0,Euler,0.162554648396051,0.340450451983919,0.166414680269121,0.315441072126117,0.339097209488418,0.099157047474589,L5,Lower
18,15,eulsef20120911c-01,AD34,1,1,p1,1,13,0,Euler,0.0567937807133419,0.121330633912134,0.249494223327453,0.517929819068298,0.272216226013912,0.164462791872125,L6,Lower
19,15,eulsef20120911c-01,AD35,1,1,p1,1,14,0,Euler,0.131139669873977,0.360911023918531,0.181418555538925,0.287201770088913,0.0588747591369728,0.102352563477958,L6,Lower
20,15,eulsef20120911c-01,AD36,1,1,p1,1,15,0,Euler,0.106288100078348,0.422716615297455,0.357636161794562,0.0700652345420772,0.0800037588238684,0.100215193119805,L6,Lower
21,15,eulsef20120911c-01,AD37,1,1,p1,1,16,0,Euler,0.0579363014113485,0.188073535733212,0.186259397004359,0.127538945339944,0.110934859549184,0.0234748775630757,L6,Lower
22,15,eulsef20120911c-01,AD38,1,1,p1,1,17,0,Euler,0.0941797192065239,0.286420262282074,0.253004233274954,0.051550494422942,0.0976402091304845,0.0734590317340003,L6,Lower
8,16,eulsef20120912c-01,AD24,1,1,p1,1,1,0,Euler,0.460457730210988,0.0932870905569634,0.0286617614491577,0.176497672245714,0.399305019461173,0.27660226663658,L2,Upper
9,16,eulsef20120912c-01,AD25,1,1,p1,1,2,0,Euler,0.304668036590726,0.0935890459806026,0.190918772126952,0.108255775369123,0.410617518505278,0.451214935458813,L2,Upper
