session,monkey,baseline_canceled,baseline_noncanc,baseline_nostop,ssd_canceled,ssd_noncanc,ssd_nostop
2,Euler,0.205882352941176,0.174825174825175,0.187353629976581,0.254901960784314,0.104895104895105,0.173302107728337
2,Euler,0.176470588235294,0.167832167832168,0.187353629976581,0.230392156862745,0.167832167832168,0.206088992974239
2,Euler,0.200980392156863,0.153846153846154,0.213114754098361,0.225490196078431,0.188811188811189,0.234192037470726
2,Euler,0.205882352941176,0.167832167832168,0.213114754098361,0.196078431372549,0.20979020979021,0.234192037470726
2,Euler,0.166666666666667,0.125874125874126,0.173302107728337,0.191176470588235,0.160839160839161,0.210772833723653
2,Euler,0.166666666666667,0.146853146853147,0.189695550351288,0.205882352941176,0.13986013986014,0.210772833723653
2,Euler,0.205882352941176,0.174825174825175,0.203747072599532,0.245098039215686,0.153846153846154,0.215456674473068
2,Euler,0.161764705882353,0.160839160839161,0.173302107728337,0.17156862745098,0.153846153846154,0.220140515222482
2,Euler,0.176470588235294,0.118881118881119,0.147540983606557,0.161764705882353,0.111888111888112,0.17096018735363
2,Euler,0.117647058823529,0.13986013986014,0.11943793911007,0.122549019607843,0.125874125874126,0.142857142857143
2,Euler,0.102941176470588,0.118881118881119,0.0936768149882904,0.102941176470588,0.104895104895105,0.126463700234192
2,Euler,0.107843137254902,0.0909090909090909,0.0960187353629977,0.107843137254902,0.0979020979020979,0.133489461358314
2,Euler,0.0980392156862745,0.118881118881119,0.11943793911007,0.112745098039216,0.111888111888112,0.147540983606557
2,Euler,0.0784313725490196,0.125874125874126,0.128805620608899,0.127450980392157,0.0979020979020979,0.154566744730679
2,Euler,0.0784313725490196,0.104895104895105,0.11943793911007,0.127450980392157,0.111888111888112,0.149882903981265
3,Euler,0,0,0,0,0,0
3,Euler,0,0,0,0,0,0
3,Euler,0,0,0,0,0,0
3,Euler,0.0447154471544715,0.029585798816568,0.0583153347732181,0.0121951219512195,0.0177514792899408,0.00863930885529158
3,Euler,0.211382113821138,0.189349112426035,0.192224622030238,0.0487804878048781,0.0355029585798817,0.0518358531317495
3,Euler,0.308943089430894,0.242603550295858,0.263498920086393,0.121951219512195,0.171597633136095,0.151187904967603
3,Euler,0.321138211382114,0.272189349112426,0.267818574514039,0.178861788617886,0.159763313609467,0.159827213822894
3,Euler,0.292682926829268,0.337278106508876,0.311015118790497,0.166666666666667,0.201183431952663,0.1792656587473
3,Euler,0.25609756097561,0.230769230769231,0.252699784017279,0.150406504065041,0.153846153846154,0.166306695464363
3,Euler,0.296747967479675,0.224852071005917,0.278617710583153,0.215447154471545,0.201183431952663,0.203023758099352
3,Euler,0.32520325203252,0.313609467455621,0.369330453563715,0.32520325203252,0.331360946745562,0.293736501079914
3,Euler,0.252032520325203,0.195266272189349,0.257019438444924,0.186991869918699,0.171597633136095,0.151187904967603
3,Euler,0.182926829268293,0.183431952662722,0.222462203023758,0.16260162601626,0.142011834319527,0.157667386609071
3,Euler,0.170731707317073,0.130177514792899,0.200863930885529,0.105691056910569,0.100591715976331,0.120950323974082
3,Euler,0.146341463414634,0.142011834319527,0.177105831533477,0.0975609756097561,0.0769230769230769,0.101511879049676
3,Euler,0.105691056910569,0.112426035502959,0.133909287257019,0.101626016260163,0.0591715976331361,0.08207343412527
3,Euler,0.0975609756097561,0.0828402366863905,0.140388768898488,0.0528455284552846,0.0177514792899408,0.0539956803455724
3,Euler,0.0772357723577236,0.0650887573964497,0.120950323974082,0.0447154471544715,0.0177514792899408,0.0345572354211663
3,Euler,0.0650406504065041,0.0532544378698225,0.114470842332613,0.040650406504065,0.0118343195266272,0.0259179265658747
3,Euler,0.0813008130081301,0.0473372781065089,0.107991360691145,0.0284552845528455,0.0118343195266272,0.0367170626349892
4,Euler,0.126760563380282,0.112299465240642,0.128440366972477,0.0528169014084507,0.0374331550802139,0.0422018348623853
